"","SimpSubs","IPTW","TMLE"
"182",-0.0310823706629795,-0.0391375187788241,-0.0374695426250353
"183",-0.019036591351738,-0.0259350428115774,-0.0234073246983439
"184",-0.028337262614491,-0.0330958797973989,-0.0312790905601165
"185",-0.0186400941243824,-0.0239828308987532,-0.0223391762173085
"186",-0.0185465397304358,-0.023885378955949,-0.022523478135671
"187",-0.0199231905772304,-0.0262961494895846,-0.0247161727990192
"188",-0.0175822647899845,-0.0192267263993822,-0.0181277526661464
"189",-0.0328138768414213,-0.0391617347300913,-0.0384271837107861
"190",-0.0211888044788089,-0.0280637152795227,-0.0255380819389854
"191",-0.0188449990400874,-0.0255267131851898,-0.0246754274271858
"192",-0.0281087646798433,-0.0360440139090076,-0.0339954322311488
"193",-0.0291533071029084,-0.0360053440392188,-0.0349069633806104
"194",-0.00714504652127139,-0.00852191284462908,-0.0068531779939337
"195",-0.013455721666561,-0.0149185207705446,-0.0129151837527459
"196",-0.012021525292361,-0.0133098949167253,-0.0116974713402621
"197",-0.0203442855438669,-0.023170067337549,-0.022254621935068
"198",-0.0152309603455694,-0.0199632135208534,-0.018425236455816
"199",-0.0352506669880339,-0.0410464075636884,-0.0398881615051487
"200",-0.0367687744679237,-0.043214633071831,-0.0424683457922598
"201",-0.0123899630165068,-0.01712184073633,-0.0158701155855268
"202",-0.0178375438909385,-0.0195878012253246,-0.0174387343364488
"203",-0.0360643201124865,-0.0414413346107634,-0.0400787740308136
"204",-0.00345668966512783,-0.00719101663983393,-0.00531541478211606
"205",-0.0240047265087003,-0.0297379280216331,-0.0283351613424704
"206",-0.0318369195607021,-0.0390320780343613,-0.0378949711915584
"207",-0.0363541785387021,-0.0451503118791312,-0.042837836988347
"208",-0.0307511977597408,-0.0360157576585925,-0.0357870177606338
"209",-0.0163851366563344,-0.0250211592888902,-0.0236623444767622
"210",-0.0221673660361833,-0.0246049811891291,-0.0232389881658485
"211",-0.0332406582128249,-0.0375031525166054,-0.0359847835942104
"212",-0.0303409959865005,-0.0365304185735753,-0.0352951102953567
"213",-0.0160986675078016,-0.0194378722879807,-0.0177760671810022
"214",-0.0111929744482042,-0.0137414032660582,-0.0115348530809686
"215",-0.0183379101192922,-0.0231311435697443,-0.0206995446019838
"216",-0.0340617602025879,-0.0374986082787266,-0.0354929201132785
"217",-0.0207484697382091,-0.0249646498000091,-0.0234689446472879
"218",-0.0193005415194414,-0.0250899951557708,-0.0226820648262296
"219",-0.0176198168860982,-0.0231144377502366,-0.0220174805975599
"220",-0.0201514138578431,-0.0246357928284687,-0.0232878508164078
"221",-0.0388267238786043,-0.0478692855529152,-0.0470620867238251
"222",-0.024273033436161,-0.0275909910357461,-0.0266066020082568
"223",-0.0240453347648928,-0.0291714417330087,-0.0265715763528417
"224",-0.0302928093357907,-0.0365390502629344,-0.0356795435689757
"225",-0.0243133330665284,-0.0309018261467811,-0.0301816049950852
"226",-0.0261966754475502,-0.0307022089903683,-0.0289628197879799
"227",-0.018913733666338,-0.0222825396268729,-0.0204087922690662
"228",-0.0106480484183857,-0.0151632312431384,-0.0134213885570662
"229",-0.028149565223743,-0.0377619987769313,-0.0369750128201085
"230",-0.0269156865063302,-0.0335563880502702,-0.0318697848767863
"231",-0.0257840497104788,-0.0292233632096425,-0.0284615854879465
"232",-0.0113198307587754,-0.0131960992017942,-0.0112530800424845
"233",-0.0197932418903844,-0.0219827163674475,-0.0208583602233006
"234",-0.0264325974787904,-0.0310371319045811,-0.0291996769261018
"235",-0.0351929554301567,-0.0400429307780915,-0.0388259870043108
"236",-0.0371231303448416,-0.0394001749333665,-0.0386006171476626
"237",-0.0227302565111748,-0.0305280899339958,-0.0280813113870804
"238",-0.0155594714490293,-0.0198743877563643,-0.0174777590871382
"239",-0.0149421143005623,-0.0194647541919717,-0.0185259428690281
"240",-0.0294079791764024,-0.0330256225703406,-0.0313550848532496
